অ	ꯑ
অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অংগ্রেসশিংনা	ꯑꯪꯒ꯭ꯔꯦꯁꯁꯤꯡꯅꯥ
অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯡ
অংলোংদা	ꯑꯪꯂꯣꯡꯗꯥ
অইং	ꯑꯏꯪ
অইংবদগী	ꯑꯏꯪꯕꯗꯒꯤ
অইংবা	ꯑꯏꯪꯕꯥ
অইন	ꯑꯏꯟ
অইবশিং	ꯑꯏꯕꯁꯤꯡ
অইবশিংগী	ꯑꯏꯕꯁꯤꯡꯒꯤ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅꯥ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীশিংগী	ꯑꯏꯕꯤꯁꯤꯡꯒꯤ
অইবীশিংগীদমক	ꯑꯏꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅꯥ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অইসোলেসন	ꯑꯏꯁꯣꯂꯦꯁꯟ
অঈং	ꯑꯏꯪ
অউন	ꯑꯎꯟ
অউন্	ꯑꯎꯟ
অউবা	ꯑꯎꯕꯥ
অওং	ꯑꯑꯣꯡ
অওইবা	ꯑꯑꯣꯢꯕꯥ
অওক	ꯑꯑꯣꯛ
অওকশিং	ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা	ꯑꯑꯣꯛꯁꯤꯡꯗꯥ
অওনবশিং	ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবশিংগী	ꯑꯑꯣꯟꯕꯁꯤꯡꯒꯤ
অওনবা	ꯑꯑꯣꯟꯕꯥ
অকংবদি	ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	ꯑꯀꯪꯕꯅꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অককনবা	ꯑꯀꯛꯅꯕꯥ
অকক্ননা	ꯑꯀꯛꯅꯅꯥ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
অকক্নহনবা	ꯑꯀꯛꯅꯍꯟꯕꯥ
অকক্পা	ꯑꯀꯛꯄꯥ
অকঙ্বা	ꯑꯀꯪꯕꯥ
অকনবা	ꯑꯀꯟꯕꯥ
অকন্	ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅꯥ
অকন্বনা	ꯑꯀꯟꯕꯅꯥ
অকন্বনি	ꯑꯀꯟꯕꯅꯤ
অকন্ববু	ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	ꯑꯀꯟꯕꯥ
অকশৈ	ꯑꯛꯁꯩ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯢ
অকাইগী	ꯑꯀꯥꯢꯒꯤ
অকাইবা	ꯑꯀꯥꯢꯕꯥ
অকাইশিং	ꯑꯀꯥꯢꯁꯤꯡ
অকানে	ꯑꯀꯥꯅꯦ
অকাবা	ꯑꯀꯥꯕꯥ
অকামপাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅꯥ
অকায়	ꯑꯀꯥꯢ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকালি	ꯑꯀꯥꯂꯤ
অকাশ	ꯑꯀꯥꯁ
অকাশবনি	ꯑꯀꯥꯁꯕꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯥ
অকাশবানিগী	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা	ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
অকাশবানিনা	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯥ
অকাশাবনি	ꯑꯀꯥꯁꯥꯕꯅꯤ
অকাশাবানি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী	ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস	ꯑꯀꯥꯁ
অকােইজম	ꯑꯀꯣꯢꯖꯝ
অকায়	ꯑꯀꯥꯢ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়দগী	ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকায়বাা	ꯑꯀꯥꯢꯕꯥ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু	ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকায়্বা	ꯑꯀꯥꯢꯕꯥ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕꯥ
অকিল	ꯑꯀꯤꯜ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄꯥ
অকূপ্পা	ꯑꯀꯨꯞꯄꯥ
অকে	ꯑꯀꯦ
অকোইজম	ꯑꯀꯣꯢꯖꯝ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোইবা	ꯑꯀꯣꯢꯕꯥ
অকোনগী	ꯑꯀꯣꯟꯒꯤ
অকোনবগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	ꯑꯀꯣꯟꯕꯗꯗꯤ
অকোয়বগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়বা	ꯑꯀꯣꯢꯕꯥ
অকোয়সনানা	ꯑꯀꯣꯢꯁꯅꯥꯅꯥ
অকোয়্বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়্বদু	ꯑꯀꯣꯢꯕꯗꯨ
অকোয়্বা	ꯑꯀꯣꯢꯕꯥ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅꯥ
অকয়াদা	ꯑꯀꯌꯥꯗꯥ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখঙবা	ꯑꯈꯪꯕꯥ
অখন্দা	ꯑꯈꯟꯗꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯝ
অখাক	ꯑꯈꯥꯛ
অখাকপা	ꯑꯈꯥꯛꯄꯥ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অখিল	ꯑꯈꯤꯜ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯢ
অখুনজদাগী	ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯟꯖꯗꯥꯅꯥ
অখুন্দ	ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা	ꯑꯈꯨꯟ꯭ꯗꯅꯥ
অখুবা	ꯑꯈꯨꯕꯥ
অখুম	ꯑꯈꯨꯝ
অখোন্বা	ꯑꯈꯣꯟꯕꯥ
অখোয়	ꯑꯈꯣꯢ
অখোয়্দি	ꯑꯈꯣꯢꯗꯤ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি	ꯑꯒꯅꯤ
অগনৈসকা	ꯑꯒꯅꯩꯁꯀꯥ
অগনৱাদি	ꯑꯒꯟꯋꯥꯗꯤ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
